id,name,description,new_price,image,extra_info,category_id,discount_price
1,Classic White Button-Up Shirt,"TOM FORD Slim Fit Solid Cotton Poplin Button-Up Shirt in White at Nordstrom, Size 41 Eu
",29.99,https://i.pinimg.com/564x/5d/b2/b6/5db2b64f0a48a0ccbfed344a7302d3d4.jpg,"The label's knack for elevating everyday essentials is manifested in this classic button-up shirt tailored in a slim fit from crisp cotton poplin. Front button closure Point collar Long sleeves with two-button cuffs 100% cotton Dry clean or machine wash, line dry Made in Italy Designer Clothing",1,
2,Floral Print Short Sleeve Shirt,"Printed Short Sleeved Shirt
",24.99,https://i.pinimg.com/564x/8a/e9/ba/8ae9baa9885d04c64137555d3c6caf24.jpg,Bring the resort to your front doorstep with this printed short-sleeved shirt. It’s made with linen giving it that signature lightweight feel and features a bold floral print that transports us to warm-weather climates. Wear it with tapered linen trousers and leather sandals. - Spread collar - Button-up front - Short sleeves - Printed design - Made with linen - Regular fit MADE WITH TENCEL™ LYOCELL The main material in this product contains a minimum of 50% TENCEL™ branded lyocell fibres high quality cellulose fibres made from wood pulp from sustainably managed forests and produced in a way that reduces environmental impact,1,19.99
3,Casual Chambray Shirt,"CANALI Cotton-blend Chambray Shirt S - Blue
",34.99,https://i.pinimg.com/564x/66/34/ee/6634eea0c568dc5dac3c269a341ccbcf.jpg,Find CANALI Cotton-blend Chambray Shirt S on Editorialist. Chambray's lighter handle makes it a great denim alternative in the warmer months. Canali's shirt is made from a cotton-blend version of the fabric for a comfortable fit.,1,23
4,Slim Fit Dark Wash Jeans,"AG Tellis Slim Fit Jeans - 9 Years Silverado
",49.99,https://i.pinimg.com/564x/3f/30/44/3f304493a8662379b4163bd9237c6e92.jpg,"""Find AG Tellis Slim Fit Jeans on Editorialist. Bleach-baked jeans bring casual cool to denim days with a slim, yet comfortable fit. 14\"" leg opening; 10 1/4\"" front rise; 15\"" back rise Zip fly with button closure Five-pocket style 97% cotton, 3% polyester or 97% cotton, 3% polyurethane Machine wash, tumble dry Imported""",2,
5,High-Waisted Mom Jeans,"MANGO High Waist Ankle Mom Jeans - Dark Vintage Blue
",39.99,https://i.pinimg.com/564x/78/98/6b/78986bac11f563f0f21b14c6f30e2975.jpg,"""Find MANGO High Waist Ankle Mom Jeans on Editorialist. Refresh your wardrobe with nonstretch jeans flaunting a high waist and tapered legs for a retro-inspired silhouette. 27 1/2\"" inseam Zip fly with button closure Five-pocket style 80% cotton, 20% recycled cotton Machine wash, line dry Imported""",2,
6,Skinny Ankle Jeans,"PURPLE - Men's P001 Black Resin Skinny Jeans
",44.99,https://i.pinimg.com/564x/e0/9b/ea/e09bea99e1b322d01adfa76bd8c58d0d.jpg,"PURPLE jeans in coated denim. Approx. measurements: 10.25"" rise, 32"" inseam, 13.5"" leg opening, based on a size 32. Low rise, sits at the hip. Fivepocket style. Slim fit through skinny legs. Ankle length. Button/zip fly; belt loops. Cotton/Lycra® spandex. Machine wash. Imported.",2,
8,Rash Guard Swim Shirt,"KYKU Men's Rash Guard Long Sleeve UPF 50+ UV Lightweight Sun Protection Swim Shirt for Outdoor Fishing Hiking Surf
",34.99,https://i.pinimg.com/564x/2b/d2/00/2bd2008a9102991bcf56f48208eb9e68.jpg,"PRICES MAY VARY. 88% Polyester, 12% Spandex Imported Polyester lining Pull On closure Machine Wash All-Weather UPF50+ Protection: mens spf swim shirt can provide you with comprehensive UVA/UVB protection, shielding you from harmful radiation without the need for applying sunscreen. It can help you reduce the risk of skin cancer and sunburns, keeping you cooler and safer during outdoor activities. Soft and Skin-Friendly Fabric: We use a polyester and spandex blended fabric to provide you with a c",3,
10,Cotton Pajama Set,"Pajamas - Yale Check - Pajamas - Yale Check
",29.99,https://i.pinimg.com/564x/5c/8e/97/5c8e9780f5ac2d7126afc62cb6d7cd32.jpg,"Warm cotton at the top, light “Pilou” at the bottom, the recipe for pajamas for straight-forward nights
- Men's pajamas set
- 100% cotton
- Plain long-sleeved T-shirt, round neck in thick and warm cotton jersey
- Chest screen printing
- Contrasting elbow patches
- “Pilou Pilou” cotton flannel pajama pants
- Elasticated waistband, drawstring and 2 side pockets
- Exclusive pattern created in Paris
- Made in our partner workshops in Morocco",4,
12,Flannel Sleep Pants,"MAJESTIC INTERNATIONAL Plaid Cotton Flannel Pajama Pants - Cherry
",24.99,https://i.pinimg.com/564x/a0/73/2f/a0732f82cc7ff7d0889cce5e45bc962f.jpg,"""Find MAJESTIC INTERNATIONAL Plaid Cotton Flannel Pajama Pants on Editorialist. Cozy flannel pajama pants in classic plaid provide extra comfort for lounging or sleeping when the temps drop. 32\"" inseam; 15 1/2\"" leg opening; 12 1/2\"" front rise 100% cotton Machine wash, tumble dry Imported""",4,
13,Moisture-Wicking Workout T-Shirt,"Under Armour Tech Twist Short Sleeve VNeck TShirt
",29.99,https://i.pinimg.com/564x/f5/7a/b8/f57ab8e6d0716ee9f221025a1d23cbfd.jpg,"Experience the perfect blend of comfort and style with our women's Tech Twist Short Sleeve V-Neck T-Shirt from Under Armour. This versatile piece is a must-have for any active woman's wardrobe.Crafted with our signature Tech fabric, this shirt offers superior moisture-wicking capabilities to keep you cool and dry during even the most intense workouts. The twist effect adds a touch of texture to the plain design, elevating your look without sacrificing functionality. The V-neck cut provides a fla",5,
15,Stretchy Leggings with Pockets,"HUE Game Changing Seamless Denim Leggings - Grey Wash
",39.99,https://i.pinimg.com/564x/5f/88/e2/5f88e270a809a50366943a76d22608a0.jpg,"Find HUE Game Changing Seamless Denim Leggings on Editorialist. These high-rise leggings with real back pockets are made from stretchy denim fabric. 79% cotton, 14% polyester, 7% spandex Machine wash, tumble dry Imported",5,
16,Casual Denim Jumpsuit,"Starlet Denim Jumpsuit - Ballad / Large
",69.99,https://i.pinimg.com/564x/e6/7c/80/e67c801285546626a2ea8b43359fa43f.jpg,"Elevate your denim game with our Starlet Denim Jumpsuit, a one-and-done wonder that's equal parts stylish and versatile. Key Features: Chic collar and button-front closure for a polished look Short sleeves keep things cool and casual Matching denim belt cinches the waist for a flattering fit Wide-leg pants offer a relaxed, comfortable feel Available in sizes XS to XL to fit every body Our Starlet Denim Jumpsuit is the perfect blend of laid-back cool and fashionable flair. With thoughtful details like metallic buttons and handy chest pockets, this one-piece wonder is ready for anything. Dress it up with your favorite heels and sparkly jewelry for a girls' night out, or keep it casual with sneakers and a cute tee underneath. No matter how you style it, you'll love the confident, put-together",6,39.99
17,Chic Utility Jumpsuit,"Utility jumpsuit - 36
",79.99,https://i.pinimg.com/564x/56/4d/79/564d7947fab7a3617654c49137c16ca6.jpg,"Our latest jumpsuit effortlessly strikes a balance of business and pleasure. With a chic workwear design, this jumpsuit features a snap button closure and spacious pockets for that added utility of keeping your belongings close on your person whilst on-the-go.",6,
18,Elegant Maxi Jumpsuit,"Long Sleeves Wrap Solid Color Zipper Jumpsuits
",89.99,https://i.pinimg.com/564x/f1/58/16/f15816dce56232e739d04a305489d82e.jpg,"Sku CY-!126996 Material 95%Dacron , 5%Spandex Style Wrap , Long Sleeves Feature Solid Color , Zipper Occasion Evening , Banquet , Going out , Urban , Simple Seasons Spring , Summer , Autumn , Winter Type Jumpsuits Color GREEN,BEIGE,BLACK,PINK RED,DARK BLUE Size S,M,L,XL Please consult the size chart we provide for this item's measurements to help you decide which size to buy.Please note: There may be 1-3cm differ due to manual measurement.CMINCH Bust Waist Shoulder Sleeve Hips Length S 92 78 40 57 110 142 M 96 82 41 58 114 143 L 100 86 42 59 118 144 XL 104 90 43 60 122 145",6,
19,Tailored Black Blazer,"David Koma tailored blazer - Black
",99.99,https://i.pinimg.com/564x/95/20/05/9520051c1d03ffca0692ec4e934170a8.jpg,black wool blend textured finish double-breasted button fastening peak lapels shoulder pads long sleeves chest welt pocket English rear vents strap detailing to the rear internal jetted pocket full lining straight hem,7,23.99
20,Checked Oversized Blazer,"AKRIS Houndstooth Check Virgin Wool Boyfriend Blazer - Beige-cognac-black
",89.99,https://i.pinimg.com/564x/85/1e/3c/851e3c848996c0e7fc9119cbc689e68c.jpg,"Find AKRIS Houndstooth Check Virgin Wool Boyfriend Blazer on Editorialist. A slightly oversized fit enhances the menswear-inspired look of this single-breasted blazer tailored from Shetland wool patterned with classic houndstooth checks. Front button closure Notched lapels Chest welt pocket; front flap pockets 100% virgin wool Dry clean Imported Designer Clothing",7,
21,Linen Blend Blazer,"Single-Breasted Blazer
",74.99,https://i.pinimg.com/564x/5b/26/1e/5b261effa708a351429faccd682cf412.jpg,"Witchery Women's Clothing Cotton Linen Single-Breasted Blazer, Flax, 20. 57% Linen, 43% Cotton | In a tailored fit . Single-breasted silhouette with notched lapels. Shoulder pad detail for structured look. Full length sleeves with buttoned cuffs. Functional flap pockets and welt chest pocket. Centre back vent for ease of movement. Copper toned buttons throughout . Breathable linen-blend fabrication. Fully lined. Designed in Melbourne, Australia. Dry clean as per the care label. Composition: 57%",7,
22,Classic Leather Jacket,"Chaqueta clásica de cuero auténtico con cremallera para caballero para una ocasión más elegante - SaddleBrown / Pequeño
",149.99,https://i.pinimg.com/564x/f0/b8/b5/f0b8b5f441d90c10136a454c4cf468e7.jpg,"- 100% Piel suave de primera calidad lavada
- La piel natural es ideal para todas las estaciones, estilo caja clásica con bolsillos con cremallera
- Diseño de ajuste a medida (entre Slim y Regular Fit)
- Piel suave de primera calidad, ideal para un uso elegante e informal
Material: Exterior: 100% Piel; Forro: 100% Poliéster",8,
23,Lightweight Bomber Jacket,"Men's Lightweight Bomber Jacket Spring Fall Thin Casual Coat Full-zip Work Coats
",59.99,https://i.pinimg.com/564x/db/90/e6/db90e6f7bebf3039e371bf2f741919f8.jpg,"Men's Lightweight Bomber Jacket Spring Fall Thin Casual Coat Full-Zip Work Coats   Featured Item :      Package Include   1 * Men's Baseball Jacket which color and size you have paid (Without other fittings)   Features   Brand New and Top Quality, Material: Polyester     Fabric Features Men's casual jacket is made of soft and comfortable windbreaker fabric. Lightweight Soft Breathable Windproof Water Repellent TACVASEN Mens Fall Jacket Lightweight Windproof Bomber Jacket Men's casual jacket is m",8,32.99
24,Puffer Jacket,"The North Face Massif Down Jacket Size Extra Small Genuine Rrp £395 R
",129.99,https://i.pinimg.com/564x/e1/5c/2c/e15c2c10baeb8f40c5b3cb4be56e0f6e.jpg,"Embrace the cold weather in style with this genuine NORTH FACE Massif Down Jacket in size XS. The black puffer jacket is made with polyester outer shell material and filled with warm down insulation material, making it perfect for men who love outdoor adventures. The jacket features a regular fit and is designed to be worn on any occasion. This jacket is a must-have for any fashion-conscious man who wants to stay warm and comfortable in cold weather. The NORTH FACE brand is known for its high-quality products, and this jacket is no exception. With its sleek design and powerful insulation, you can rely on this jacket to keep you warm and stylish no matter where you go.",8,
25,Classic White Sneakers,"Women's Vegas | Ivory Sneakers | Hands Free Technology | Kizik
",49.99,https://i.pinimg.com/564x/5d/83/6a/5d836affd14e6d61c63029377ce2a262.jpg,"One of the newest additions to the Kizik family and a must-have for anyone who loves a classic sneaker look. These are easy on and off with our patented HandsFree Labs® Technology Dress them up or down, the Vegas works perfectly around the house, at the office, or out on the town. Ultimately, we designed the Vegas to be your go-to shoe. Built with our patented HandsFree Labs® Technology Rabbit Foam™ Outsoles for ultra cushy comfort Adjustable lacing for the perfect fit every time for any size Rubber traction pods for enhanced traction and stability Available in sizes 6 - 12 in standard and EE width",9,
26,Leather Ankle Boots,"Tommy Hilfiger Core RWB Hilfiger Mens Leather Boots Colour: Winter Cognac, Size: UK11 EU46 US12
",89.99,https://i.pinimg.com/564x/60/fb/96/60fb9646bff6bb16e76032a0d61fdce9.jpg,"Combining soft materials in neutral colours, easy closures and clean lines, the Smart Casual collection is tailor-made for professional days and informal nights. With their signature detailing and smart design, these leather ankle boots have a clean-cut distinction that's well suited to any formal occasion. Highlights - Leather upper - Leather lining - Polyurethane insock - Thermoplastic rubber, leather and paper outsole - Signature detailing on heel - Tommy Hilfiger branding - Rubberised Tommy Hilfiger flag on back Shape & fit - Ankle boots - Lace-up - Almond toe - Shaft height 10.5cm - Sole height 2.1cm Composition & care - 100% leather FM0FM04804",9,
27,Sporty Running Shoes,"ON Cloudnova Sneaker - Undyed White/ White
",69.99,https://i.pinimg.com/564x/5c/7a/bc/5c7abcd855c8453903889191bdc56edb.jpg,"Find ON Cloudnova Sneaker on Editorialist. Runner-tech comfort meets street-ready attitude in a sneaker that sets layers of targeted mesh atop a fusion of performance cushioning technologies.Perfect for: Active people looking for sporty style and technical cushioning in an everyday, easy-wearing sneaker.Upper: Engineered mesh and a generously padded heel look great as they comfortably hug your foot. An inner sock and streamlined lacing system provide easy-on/stay-put convenience to get you going with your day.Midsole Drop: 14mm. Classified as a high-drop measurement, it allows for more cushioning to absorb the impact of heel strikes.Sole: Cushy CloudTec® construction absorbs the impact of every step, while an embedded Speedboard™ propels you forward. Rubber reinforcements in the tread supp",9,
